2026-02-24T14:40:24 - Movido: FileSaver.min.js -> shared/FileSaver.min.js
2026-02-24T14:40:24 - Backup: C:\wamp64\www\BACKOFFICE\dx.all.js -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\dx.all.js
2026-02-24T14:40:24 - Movido: dx.all.js -> shared/dx.all.js
2026-02-24T14:40:24 - Backup: C:\wamp64\www\BACKOFFICE\dx.darkmoon.css -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\dx.darkmoon.css
2026-02-24T14:40:24 - Movido: dx.darkmoon.css -> shared/dx.darkmoon.css
2026-02-24T14:40:24 - Backup: C:\wamp64\www\BACKOFFICE\polyfill.min.js -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\polyfill.min.js
2026-02-24T14:40:24 - Movido: polyfill.min.js -> shared/polyfill.min.js
2026-02-24T14:40:24 - Backup: C:\wamp64\www\BACKOFFICE\panel.html -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\panel.html
2026-02-24T14:40:24 - Movido: panel.html -> public/panel.html
2026-02-24T14:40:24 - Backup: C:\wamp64\www\BACKOFFICE\panel.js -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\panel.js
2026-02-24T14:40:24 - Movido: panel.js -> public/panel.js
2026-02-24T14:40:24 - Backup: C:\wamp64\www\BACKOFFICE\index.html -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\index.html
2026-02-24T14:40:24 - Movido: index.html -> public/index.html
2026-02-24T14:40:24 - Backup: C:\wamp64\www\BACKOFFICE\styles.css -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\styles.css
2026-02-24T14:40:24 - Movido: styles.css -> public/styles.css
2026-02-24T14:40:24 - Backup: C:\wamp64\www\BACKOFFICE\stylespanel.css -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\stylespanel.css
2026-02-24T14:40:24 - Movido: stylespanel.css -> public/stylespanel.css
2026-02-24T14:40:24 - Backup: C:\wamp64\www\BACKOFFICE\registro.css -> C:\wamp64\www\BACKOFFICE\_backup_pre_reorg_20260224_144022\registro.css
2026-02-24T14:40:24 - Movido: registro.css -> public/registro.css
2026-02-24T14:40:24 - Fin de reorganizaciÃ³n
